orf_id	Essential	orf_size	upstream_size	downstream_size	upstream_conservation	downstream_conservation	recombination	paralagous_count	phyletic_retention	promoter_count(Harbison_et_al)	DIP_degree	MW	PI	CAI	Codon_bias	ALA	ARG	ASN	ASP	CYS	GLN	GLU	GLY	HIS	ILE	LEU	LYS	MET	PHE	PRO	SER	THR	TRP	TYR	VAL	FOP_score	Gravy_score	aromaticity_score	num places loc	actin	ambiguous	bud	bud neck	cell periphery	cytoplasm	endosome	ER	ER to Golgi	Golgi	Golgi to ER	Golgi to Vacuole	lipid particle	microtubule	mitochondrion	nuclear periphery	nucleolus	nucleus	peroxisome	punctate composite	spindle pole	vacuolar membrane	vacuole
YAL015C	0	1200	149	116	0	0.525862069	1.12	1	1	0	11	45577	8.06	0.12	0.077	15	17	14	21	5	22	30	19	5	28	42	36	12	6	23	26	24	10	11	33	0.456	-0.349373	0.067669	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL016W	0	1908	386	116	0.31865285	0.525862069	0.84	0	4	25	12	70906	4.38	0.177	0.115	53	23	35	53	7	27	39	17	4	47	91	35	9	27	21	50	29	7	12	49	0.47	0.085512	0.072441	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL017W	0	4071	683	11	0.279648609	0	0.92	4	2	56	3	152329	5.56	0.126	0.012	60	52	85	96	12	40	96	60	35	89	142	102	25	61	73	147	75	8	32	66	0.414	-0.471534	0.074484	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL018C	0	978	683	249	0.25	0.285140562	0.92	0	1	0	7	37050	9.42	0.154	0.097	19	6	19	5	1	12	13	21	7	27	40	15	10	34	16	22	15	2	20	21	0.466	0.440923	0.172308	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL019W	0	3396	303	249	0.372937294	0.285140562	1.02	9	3	28	5	128506	5.13	0.163	0.081	66	50	82	104	7	46	85	38	22	64	103	102	22	39	50	95	63	6	32	55	0.461	-0.766844	0.068081	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL020C	0	1002	303	254	0.372937294	0.767716535	1.68	0	3	0	0	36481	6.7	0.059	-0.082	17	19	15	19	12	22	14	42	11	10	22	10	6	10	14	18	17	9	9	37	0.346	-0.318318	0.084084	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL021C	0	2514	254	415	0.767716535	0.248192771	1.37	0	5	0	21	94669	6.84	0.137	0.117	51	25	74	50	9	61	35	44	26	34	92	52	22	40	46	55	51	10	26	34	0.473	-0.559976	0.0908	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL022C	0	1554	415	325	0.248192771	0.652307692	1.52	0	1	0	5	58317	4.79	0.119	0.078	26	18	23	25	4	12	32	29	9	44	51	20	19	40	16	48	36	8	15	42	0.461	0.262669	0.121857	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL023C	0	2280	325	399	0.652307692	0.466165414	1.11	5	3	0	0	86869	7.68	0.24	0.337	45	33	37	36	11	22	30	50	21	39	79	34	24	51	35	67	37	27	34	47	0.599	-0.052437	0.147563	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL024C	0	4308	399	419	0.466165414	0.181384248	1	0	1	0	4	163149	6.43	0.123	-0.008	55	67	117	91	9	56	99	28	30	101	136	106	27	48	60	191	88	12	38	76	0.41	-0.603136	0.068293	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL025C	1	921	419	527	0.181384248	0.643263757	1.08	0	4	0	1	35694	5.07	0.219	0.202	21	20	14	22	6	15	44	11	7	10	18	32	6	5	7	23	11	6	10	18	0.534	-1.18497	0.068627	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL026C	0	4068	527	157	0.624	0.579617834	0.92	5	5	0	3	153843	5.34	0.188	0.14	86	59	80	84	13	47	89	77	27	109	127	79	28	79	44	99	83	18	53	74	0.497	-0.212546	0.110701	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
YAL027W	0	786	200	157	0	0.579617834	0.89	0	1	6	5	29769	10.12	0.112	-0.018	15	12	17	14	2	12	14	6	8	26	30	24	4	9	14	17	14	1	6	16	0.406	-0.255173	0.061303	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL028W	0	1587	629	200	0.001589825	0	1.29	0	0	49	3	58749	9.43	0.113	-0.009	31	21	23	35	4	21	28	18	24	21	46	49	13	18	30	85	19	2	12	28	0.392	-0.6875	0.060606	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL029C	0	4416	629	102	0.002	0.019607843	0.94	4	3	0	16	169342	7.63	0.15	0.094	78	65	98	69	15	68	115	63	26	120	159	120	33	69	44	104	74	15	58	78	0.472	-0.328076	0.096533	5	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL030W	0	467	254	102	0.322834646	0.019607843	1.01	1	1	23	1	13201	8.42	0.132	0.077	11	9	5	8	1	4	8	4	2	10	9	8	5	3	4	9	4	1	2	10	0.45	-0.219658	0.051282	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL031C	0	2283	254	274	0.322834646	0.102189781	0.94	0	1	0	2	86635	10.51	0.123	0.062	38	42	50	27	10	28	41	15	18	51	87	66	13	24	47	93	42	10	23	35	0.436	-0.455921	0.075	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL032C	1	1140	274	107	0.102189781	0.336448598	1.22	0	4	0	11	42482	9.93	0.139	0.139	35	24	27	22	1	19	29	16	8	15	29	34	7	9	20	31	17	2	10	24	0.481	-0.826121	0.055409	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL033W	1	522	754	107	0.289124668	0.336448598	1.49	0	3	57	0	19573	7.83	0.093	-0.008	6	10	12	13	4	4	10	7	4	20	17	14	5	6	4	20	5	0	3	9	0.417	-0.242775	0.052023	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL034C	0	1242	754	122	0.334	0.729508197	1.09	1	2	0	5	47068	10.71	0.125	0.073	21	28	40	20	3	15	13	16	7	17	40	32	8	12	34	51	15	5	22	14	0.43	-0.835351	0.094431	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL034W-A	1	870	282	122	0.567375887	0.729508197	1.14	0	2	0	4	33243	4.96	0.109	-0.055	11	15	16	25	2	9	30	9	1	17	43	32	6	6	7	18	15	0	8	19	0.375	-0.529066	0.048443	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YAL035W	0	3009	274	282	0.565693431	0.567375887	1.08	0	5	27	17	112268	5.55	0.355	0.416	84	44	33	61	7	50	123	54	12	48	92	122	17	20	36	63	47	6	18	65	0.654	-0.740918	0.043912	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL036C	0	1110	274	219	0.565693431	0.726027397	1.85	1	5	0	9	40701	8.49	0.239	0.244	23	20	13	24	4	11	22	28	7	31	39	29	6	10	14	26	21	2	9	30	0.548	-0.131707	0.056911	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL037W	0	804	501	219	0.093812375	0.726027397	1.59	0	0	47	0	30457	8.04	0.094	-0.07	11	10	17	14	5	18	11	9	2	22	31	17	7	14	8	24	21	1	11	14	0.378	-0.122846	0.097378	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL038W	1	1503	2260	137	0.441	0	3.02	1	4	183	2	54544	7.66	0.893	0.882	43	24	26	32	7	10	28	34	7	37	35	37	11	15	25	27	38	1	15	48	0.93	-0.148	0.062	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL040C	0	1743	1195	373	0.78	0.190348525	1.44	0	1	0	8	64990	9.78	0.205	0.236	42	22	42	24	11	24	16	7	12	32	71	34	12	31	28	92	43	5	21	11	0.536	-0.261035	0.098276	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL041W	1	2565	276	373	0.304347826	0.190348525	1.04	0	3	19	21	96939	8.69	0.128	0.048	37	34	70	36	7	40	54	17	25	62	84	62	22	41	31	127	46	6	18	35	0.442	-0.477635	0.076112	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL042W	0	1248	263	276	0.19391635	0.304347826	1.67	0	4	6	3	46235	6.81	0.118	0.096	24	21	27	27	10	19	20	37	16	20	35	21	9	22	17	26	22	4	11	27	0.46	-0.399759	0.089157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL043C	1	2358	263	232	0.19391635	0.36637931	1.52	0	3	0	6	88472	6.17	0.13	0.133	38	29	40	48	4	40	51	26	12	46	104	61	21	29	36	92	47	7	18	36	0.478	-0.362548	0.06879	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL046C	0	357	132	171	0.166666667	0.812865497	1.49	0	2	0	0	13356	10.72	0.113	0.141	3	6	3	4	2	8	5	8	3	8	12	12	6	2	5	12	9	3	1	6	0.486	-0.426271	0.050847	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL047C	0	1869	171	199	0.812865497	0	1.11	0	1	0	17	72104	4.81	0.143	0.053	19	23	58	40	0	39	69	10	14	53	79	53	10	19	15	65	27	3	11	15	0.453	-0.777813	0.053055	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YAL049C	0	741	205	104	0.053658537	0.307692308	1.1	0	3	0	2	27089	6.24	0.172	0.08	25	6	9	18	4	5	14	19	9	19	17	20	3	17	11	15	8	2	8	17	0.461	-0.081301	0.109756	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL051W	0	3189	313	104	0.699680511	0.307692308	1.05	1	1	20	0	118862	6.82	0.143	0.057	47	47	76	55	18	29	65	45	26	80	114	65	33	57	49	107	54	7	31	42	0.441	-0.268004	0.090735	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL053W	0	2352	876	313	0.372146119	0.699680511	1.28	3	1	84	5	87462	7.78	0.166	0.187	63	27	56	37	9	30	23	30	5	52	85	35	15	62	27	72	56	9	27	63	0.518	0.229119	0.12516	6	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
YAL054C	0	2142	876	161	0.524	0.52173913	1.41	1	4	0	3	79140	6.6	0.255	0.311	56	30	23	48	7	22	38	50	20	44	58	47	8	26	40	51	47	12	31	55	0.589	-0.27195	0.096774	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL055W	0	543	373	161	0.152815013	0.52173913	1.31	0	1	18	1	19877	8.33	0.087	-0.119	11	10	6	14	5	4	9	12	2	14	10	16	4	5	8	17	10	2	5	16	0.345	-0.298333	0.066667	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YAL056W	0	2544	286	373	0.160839161	0.152815013	1.25	1	0	20	2	98611	7.41	0.113	-0.013	35	41	57	57	12	24	45	61	22	58	74	60	26	39	51	95	38	8	32	45	0.396	-0.459091	0.089773	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YAL058W	0	1509	316	286	0.037974684	0.160839161	1.09	0	2	14	2	56967	5.04	0.109	0.028	26	19	31	25	6	18	41	30	13	39	47	27	13	17	36	30	28	14	14	28	0.425	-0.344821	0.089641	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL059W	0	639	205	316	0.087804878	0.037974684	1.37	0	1	11	8	23935	10.42	0.174	0.15	20	15	14	14	0	7	19	7	0	11	21	28	3	5	5	18	11	2	2	10	0.488	-0.830189	0.042453	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL060W	0	1149	453	205	0	0.087804878	1.43	4	0	45	1	41538	6.64	0.224	0.258	25	8	10	21	11	10	25	36	17	28	27	31	11	14	19	26	16	5	6	36	0.566	-0.049738	0.065445	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL061W	0	1254	507	453	0	0	2.29	4	0	40	0	46098	6.04	0.144	0.152	36	22	17	25	14	6	34	37	18	32	32	23	10	12	18	17	21	5	12	26	0.495	-0.235252	0.069544	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL062W	0	1374	3598	507	0.003	0	1.79	1	2	257	2	49627	5.23	0.156	0.165	40	16	21	21	6	18	34	46	4	30	27	31	10	21	14	37	23	6	15	37	0.506	-0.193217	0.091904	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL067C	0	1782	3029	4528	0.11	0	0.86	2	1	0	1	68842	8.05	0.184	0.135	34	23	32	30	8	18	29	30	9	46	57	39	11	35	16	48	31	22	35	40	0.495	-0.062732	0.155143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL068C	0	363	310	1806	0.267741935	0.125	1.3	19	0	0	0	12850	5.04	0.628	0.696	19	4	3	5	0	4	5	6	2	8	8	3	4	3	5	9	13	1	7	11	0.817	0.254167	0.091667	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR002C-A	0	660	280	188	0.228571429	0.191489362	1.19	2	2	0	6	24723	7.42	0.325	0.345	19	8	5	15	5	14	12	14	6	15	22	19	4	11	2	12	11	4	6	15	0.616	-0.130594	0.09589	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YAR002W	0	1620	1090	188	0	0.191489362	0.71	0	2	70	6	59039	10.16	0.143	0.067	40	21	46	19	0	18	41	20	6	23	25	52	6	23	35	87	31	0	15	31	0.447	-0.832653	0.070501	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YAR003W	0	1281	280	468	0.228571429	0.068376068	0.85	0	3	19	8	48654	4.52	0.129	0.052	20	17	20	29	10	15	38	18	12	34	42	19	5	14	18	38	24	11	15	27	0.446	-0.288498	0.093897	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAR007C	1	1866	345	468	0.284057971	0.068376068	0.84	0	5	0	11	70347	6.13	0.206	0.187	47	33	55	42	5	32	37	31	9	41	48	39	10	32	21	45	36	7	20	31	0.523	-0.558937	0.095008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAR008W	1	828	345	6964	0.284057971	0.172	0.71	0	3	32	1	31313	7.75	0.121	0.018	14	16	10	22	1	11	15	20	7	24	34	21	6	13	8	19	12	4	7	11	0.411	-0.281818	0.087273	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR014C	0	2109	503	6964	0.482	0.481	0.97	0	2	0	14	79062	4.26	0.12	-0.039	34	30	50	83	3	25	64	33	16	26	44	44	14	22	31	100	31	4	21	32	0.388	-1.06747	0.066478	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAR015W	0	921	503	100	0.48111332	0	1.02	0	3	42	0	34603	5.8	0.23	0.292	19	12	9	21	1	9	26	19	6	22	29	29	3	11	13	20	19	5	12	21	0.584	-0.395425	0.091503	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAR018C	0	1308	510	100	0.124	0	0.79	1	3	0	12	51203	8.65	0.138	0.064	13	26	17	19	6	28	37	23	14	30	38	35	10	14	20	29	17	4	30	25	0.454	-0.665977	0.110345	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR019C	1	2925	1720	510	0.174	0.121568627	1	12	2	0	5	110283	7.97	0.138	0.071	51	34	65	57	14	27	42	29	23	82	111	69	17	51	43	103	60	11	33	52	0.455	-0.113655	0.097536	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YAR020C	0	168	2257	1720	0.426	0.316	1.07	0	0	0	1	5674	4.76	0.482	0.494	12	2	1	2	0	1	3	3	1	3	5	1	1	1	0	6	4	0	3	6	0.685	0.558182	0.072727	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR023C	0	540	3945	2257	0	0	1.06	5	0	0	2	20621	7.83	0.103	-0.032	12	5	8	5	4	10	9	7	4	16	15	10	4	10	10	10	13	7	7	13	0.405	0.073743	0.134078	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR027W	0	708	3945	414	0.234	0	1.04	7	0	188	33	27116	6.1	0.128	-0.001	13	6	12	8	4	5	19	7	8	25	25	15	5	14	13	15	13	4	10	14	0.425	0.093617	0.119149	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR028W	0	705	414	724	0	0	1.12	6	0	30	10	26458	5.01	0.122	0.028	17	4	10	11	3	7	16	8	6	18	20	14	11	11	10	23	14	3	12	16	0.436	0.010684	0.111111	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR029W	0	225	724	290	0	0	1.09	0	0	40	0	8910	4.55	0.116	-0.087	2	4	5	3	3	3	10	3	2	3	5	3	1	8	4	4	5	1	4	1	0.375	-0.782432	0.175676	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR031W	0	897	290	374	0	0	1.01	6	0	0	5	35073	8.08	0.107	-0.085	17	13	11	14	5	11	22	10	7	17	25	25	6	25	11	24	16	5	18	16	0.369	-0.329195	0.161074	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR042W	0	3567	201	7214	0	0.002	1.57	3	3	10	0	135069	5.34	0.176	0.143	71	52	88	96	8	47	89	54	35	56	111	90	22	36	52	96	70	21	35	59	0.493	-0.757576	0.077441	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR050W	0	4614	7214	12181	0.039	0	1.03	5	0	460	0	160667	3.93	0.259	0.384	71	25	51	43	16	33	85	94	5	96	53	19	29	36	90	200	432	25	29	105	0.647	-0.16311	0.058556	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL001C	0	315	1473	264	0.02	0.378787879	0.76	0	1	0	4	11518	6.67	0.243	0.209	5	4	0	9	2	3	6	8	5	11	6	9	3	2	4	7	8	1	2	9	0.55	-0.201923	0.048077	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YBL002W	0	396	699	264	0.13018598	0.378787879	1.04	1	2	48	34	14237	10.89	0.563	0.61	17	6	3	3	0	4	8	4	2	8	6	19	2	2	5	19	11	0	5	7	0.767	-0.620611	0.053435	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YBL003C	0	399	699	276	0.18	0.398550725	0.97	1	3	0	6	13989	11.43	0.544	0.608	19	10	8	3	0	6	5	14	3	7	17	11	1	1	5	8	5	0	3	6	0.748	-0.315909	0.030303	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YBL004W	1	7482	7235	276	0.444	0.398550725	0.97	0	4	93	18	287557	7.03	0.146	0.067	115	121	138	139	19	84	173	71	55	189	331	179	52	132	70	232	137	22	92	142	0.448	-0.168993	0.098676	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YBL005W	0	2931	340	7235	0.352941176	0.004	1.04	2	0	24	1	112570	6.55	0.148	0.06	44	39	61	52	19	45	60	23	21	71	108	63	17	55	41	98	64	9	45	41	0.451	-0.308299	0.11168	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YBL006C	0	438	340	326	0.352941176	0.662576687	1.64	0	1	0	1	19792	9.32	0.057	-0.141	16	11	3	6	4	12	12	13	10	5	17	12	2	6	4	23	5	0	5	14	0.298	-0.436111	0.061111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL007C	0	3735	326	456	0.662576687	0.061403509	1.16	0	2	0	33	135847	5.69	0.189	0.201	91	49	76	66	5	83	74	97	12	47	80	77	46	49	88	104	106	11	23	60	0.519	-0.654421	0.06672	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL008W	0	2523	4	456	0	0.061403509	0.85	0	5	0	8	93889	7.13	0.128	0.013	39	40	46	63	13	21	46	48	20	65	79	66	11	28	41	83	49	16	14	52	0.416	-0.38381	0.069048	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YBL009W	0	2031	244	184	0.290983607	0.195652174	0.75	1	2	21	1	76372	10.12	0.141	0.059	21	30	44	37	11	34	26	25	23	33	79	57	10	28	21	102	42	7	16	30	0.437	-0.545414	0.075444	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL010C	0	843	244	289	0.290983607	0.235294118	0.8	0	0	0	1	32639	4.84	0.122	0.009	7	16	19	25	4	16	27	8	6	13	32	22	4	12	9	22	17	2	6	13	0.42	-0.856071	0.071429	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL011W	0	2280	299	289	0.421404682	0.235294118	0.97	1	3	16	0	85694	7.27	0.166	0.147	50	38	33	36	9	21	63	38	19	55	65	59	19	38	37	64	37	4	24	50	0.496	-0.295389	0.086957	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL014C	1	2685	307	3361	0.061889251	0.116	0.83	0	1	0	1	102033	4.87	0.12	-0.019	33	43	54	76	6	50	56	33	20	72	83	51	11	41	41	96	41	14	20	53	0.405	-0.484564	0.083893	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YBL016W	0	1062	867	609	0.119953864	0.382	2.12	12	1	42	14	40772	7.11	0.11	0.054	20	21	14	21	6	12	24	14	12	32	35	22	9	18	24	21	16	3	14	15	0.44	-0.287818	0.09915	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YBL017C	0	4740	867	369	0	0	0.95	2	3	0	3	177776	4.59	0.163	0.061	72	54	92	131	37	42	115	112	24	98	108	109	28	99	57	131	112	17	62	79	0.457	-0.477707	0.11273	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBL018C	1	477	369	82	0	0.024390244	0.87	0	1	0	0	15512	4.55	0.175	0.111	5	6	3	14	2	6	10	5	3	8	13	9	3	6	1	14	8	4	5	8	0.484	-0.467669	0.112782	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
